"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"2","3.068909","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 186, returned sequence 171"
"3","9.997341","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"4","13.077099","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 187, returned sequence 171"
"5","14.547507","20.0.0.2","224.0.0.5","OSPF","112","LS Update"
"6","17.930206","20.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"7","19.416260","20.0.0.2","224.0.0.5","OSPF","112","LS Update"
"8","19.997779","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"9","21.937368","20.0.0.1","224.0.0.5","OSPF","68","LS Acknowledge"
"10","22.703360","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 174, returned sequence 185"
"11","23.077359","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 188, returned sequence 174"
"12","24.592363","20.0.0.2","224.0.0.5","OSPF","124","LS Update"
"13","27.115023","20.0.0.1","224.0.0.5","OSPF","68","LS Acknowledge"
"14","27.660581","N/A","N/A","CDP","322","Device ID: R3  Port ID: Serial2/0  "
"15","27.930875","20.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"16","30.005853","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"17","32.693398","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 175, returned sequence 188"
"18","33.083425","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 189, returned sequence 175"
"19","33.822111","20.0.0.2","224.0.0.5","OSPF","88","LS Update"
"20","34.196780","20.0.0.2","224.0.0.5","OSPF","112","LS Update"
"21","34.317964","20.0.0.2","224.0.0.5","OSPF","136","LS Update"
"22","36.342911","20.0.0.1","224.0.0.5","OSPF","88","LS Acknowledge"
"23","37.921143","20.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"24","38.733481","N/A","N/A","CDP","322","Device ID: R2  Port ID: Serial2/1  "
"25","39.081478","20.0.0.2","224.0.0.5","OSPF","112","LS Update"
"26","39.997538","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"27","41.610796","20.0.0.1","224.0.0.5","OSPF","68","LS Acknowledge"
"28","42.697759","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 176, returned sequence 189"
"29","43.090970","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 190, returned sequence 176"
"30","47.918400","20.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"31","50.006871","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"32","52.696265","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 177, returned sequence 190"
"33","53.085228","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 191, returned sequence 177"
"34","57.929932","20.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"35","60.001961","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"36","62.702315","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 178, returned sequence 191"
"37","63.091889","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 192, returned sequence 178"
"38","67.929110","20.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"39","70.003625","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"40","72.709815","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 179, returned sequence 192"
"41","73.086818","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 193, returned sequence 179"
"42","77.916141","20.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"43","80.002710","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"44","82.722969","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 180, returned sequence 193"
"45","83.090542","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 194, returned sequence 180"
"46","87.665851","N/A","N/A","CDP","322","Device ID: R3  Port ID: Serial2/0  "
"47","87.921168","20.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"48","90.012141","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"49","92.710434","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 181, returned sequence 194"
"50","93.104892","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 195, returned sequence 181"
"51","97.919021","20.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"52","98.731361","N/A","N/A","CDP","322","Device ID: R2  Port ID: Serial2/1  "
"53","100.009973","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"54","102.717344","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 182, returned sequence 195"
"55","103.108805","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 196, returned sequence 182"
"56","107.926593","20.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"57","110.009216","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"58","112.725370","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 183, returned sequence 196"
"59","113.091481","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 197, returned sequence 183"
"60","117.920219","20.0.0.1","224.0.0.5","OSPF","84","Hello Packet"
"61","120.006483","20.0.0.2","224.0.0.5","OSPF","84","Hello Packet"
"62","122.724236","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 184, returned sequence 197"
"63","123.113197","N/A","N/A","SLARP","24","Line keepalive, outgoing sequence 198, returned sequence 184"
